assertion_id	source_assertion_registration_id	participant_role	participant_value	participant_source	source_identity_set_id	participant_identity_kind	participant_source_namespace	participant_count	participant_resolution_status
ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	gene	source_identity_set:sis_f7106832fbbcbd59f8b29248	source_identity_set_reference	sis_f7106832fbbcbd59f8b29248	gene	vap_ensembl_gene_id	878368	resolved_from_source_identity_set
ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	gene	source_identity_set:sis_350dfcea43441ed53c0524d7	source_identity_set_reference	sis_350dfcea43441ed53c0524d7	gene	vap_gene_symbol	878368	resolved_from_source_identity_set
ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	sample	source_identity_set:sis_9507eae248c8719db9a5c254	source_identity_set_reference	sis_9507eae248c8719db9a5c254	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	variant	source_identity_set:sis_aa0855d50a04f7be05f9163e	source_identity_set_reference	sis_aa0855d50a04f7be05f9163e	variant	vap_variant_id	878368	resolved_from_source_identity_set
ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9	8a80ff3f4bc4e0df615180dee8d89789a952920a6f073a84767397279a53fbcf	gene	source_identity_set:sis_3adcd1b0aa1ecc9a9682181a	source_identity_set_reference	sis_3adcd1b0aa1ecc9a9682181a	gene	gsc_ensembl_gene_id	3881	resolved_from_source_identity_set
ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9	8a80ff3f4bc4e0df615180dee8d89789a952920a6f073a84767397279a53fbcf	phenotype	source_identity_set:sis_d809f0b273cb860bc70b519e	source_identity_set_reference	sis_d809f0b273cb860bc70b519e	phenotype	gsc_phenotype	3881	resolved_from_source_identity_set
ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	gene	source_identity_set:sis_26fb69ab111abbe792088369	source_identity_set_reference	sis_26fb69ab111abbe792088369	gene	vap_ensembl_gene_id	3029	resolved_from_source_identity_set
ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	gene	source_identity_set:sis_a46dff228dc54747e79545c3	source_identity_set_reference	sis_a46dff228dc54747e79545c3	gene	vap_gene_symbol	3029	resolved_from_source_identity_set
ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	sample	source_identity_set:sis_c46ad070d052e85f2a294ca7	source_identity_set_reference	sis_c46ad070d052e85f2a294ca7	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	variant	source_identity_set:sis_85ae94e668ab655bb214aacc	source_identity_set_reference	sis_85ae94e668ab655bb214aacc	variant	vap_variant_id	3029	resolved_from_source_identity_set
