assertion_id	source_assertion_registration_id	relationship_class	assertion_type	producer_family
ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	variant_interpretation	variant_interpretation	VAP
ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9	8a80ff3f4bc4e0df615180dee8d89789a952920a6f073a84767397279a53fbcf	source_gene_relationship	source_gene_relationship	GSC
ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	candidate_routing	candidate_routing	VAP
ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	ccf2ed6fb745d3fff803b9444dd0ff1c8fa50d967a96c2de374930daca25a430	phenotype_gene_semantic_prior	phenotype_gene_semantic_prior	GSC
ar_05b6316bc05adf9b3126193beb3dc4b41a1a0fa106db129efceda03fc7270d79	ddb279b548eadce8eebbf2e3d71fcd1c6e76e0d90377aa0d3e2946a384d3128b	producer_contract_validation	producer_contract_validation	GSC
ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85	480a2121b7f0425e9783e5d30deca8c3cf913f8d39d5d5b636aae97322d50340	candidate_routing	candidate_routing	VAP
ar_1d7539bae96135844166460fb7cc0f9cf9e7000497d7e4d464cdbceb5e79bd0a	bd6c6d863d00622fb1cb92aa2cd4e90988295661e2217431ba04ea63dd3cbfa7	variant_normalization	variant_normalization	VAP
ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	c4be66409992e0fa3cd72efed3f5e6e22103d239021a2e9758ddb376af14a469	candidate_routing	candidate_routing	VAP
ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	b0bc75522990d62ae916320c1e5183a8c3f8e37839de9316be52f46601fadf26	phenotype_gene_provenance	phenotype_gene_provenance	GSC
ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029	e53214585a2e995f5692e9132c95162536357e2eb6e6eaabaeee19cbe195dc9f	candidate_routing	candidate_routing	VAP
ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c	9208504e5cea72e6437b7f4dd060ac98dde18d374ea3cceea000a586e5f262a8	source_gene_relationship	source_gene_relationship	GSC
ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83	af22359ce68d20552803c94fc66ec8e471fbb4046809ef96cdb5ad874cc19ac5	candidate_routing	candidate_routing	VAP
ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa	b2b02a4f001b7762b98e2c6d5df20c939f2d830298e399a29833acbd999dca8b	variant_prioritization	variant_prioritization	VAP
ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	candidate_routing	candidate_routing	VAP
ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	a11f588287e2858eb96a94ec52f24159e174354de67452664c87e718cb6c89b6	phenotype_gene_semantic_prior	phenotype_gene_semantic_prior	GSC
ar_4428bcf1b2766bcaaab80dc8230999e70300d5b16e3002c1b2415d932cbb3349	c8c94902a880f0643e37a2a83e8923087788d8d778e333dfc96d50764e6693ce	aggregation_support	aggregation_support	GSC
ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68	94e40ee00afb8be6a1702749b9e2738bbc89d0aeccded46847d46bd0dcdc0047	variant_normalization	variant_normalization	VAP
ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb	49c9bc64aa004d5dcf1757674b34ed962dc8afdf628929728efd61c732cd513e	producer_validation	validation	VAP
