source_identity_set_id	assertion_id	source_assertion_registration_id	registration_unit_id	identity_kind	participant_role	source_namespace	source_identity_count
sis_f7106832fbbcbd59f8b29248	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	mark_phase3_canonical_vap_q1_ERR10619212	gene	gene	vap_ensembl_gene_id	878368
sis_350dfcea43441ed53c0524d7	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	mark_phase3_canonical_vap_q1_ERR10619212	gene	gene	vap_gene_symbol	878368
sis_9507eae248c8719db9a5c254	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	mark_phase3_canonical_vap_q1_ERR10619212	sample	sample	vap_sample_id	1
sis_aa0855d50a04f7be05f9163e	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	8abe8b5f2892db328fd47d3c043f25c18dffcdd2c273be5e3f07f462552cf384	mark_phase3_canonical_vap_q1_ERR10619212	variant	variant	vap_variant_id	878368
sis_3adcd1b0aa1ecc9a9682181a	ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9	8a80ff3f4bc4e0df615180dee8d89789a952920a6f073a84767397279a53fbcf	mark_phase3_canonical_gsc_mitochondrial_disease	gene	gene	gsc_ensembl_gene_id	3881
sis_d809f0b273cb860bc70b519e	ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9	8a80ff3f4bc4e0df615180dee8d89789a952920a6f073a84767397279a53fbcf	mark_phase3_canonical_gsc_mitochondrial_disease	phenotype	phenotype	gsc_phenotype	3881
sis_26fb69ab111abbe792088369	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	mark_phase3_canonical_vap_q3_ERR10619225	gene	gene	vap_ensembl_gene_id	3029
sis_a46dff228dc54747e79545c3	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	mark_phase3_canonical_vap_q3_ERR10619225	gene	gene	vap_gene_symbol	3029
sis_c46ad070d052e85f2a294ca7	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	mark_phase3_canonical_vap_q3_ERR10619225	sample	sample	vap_sample_id	1
sis_85ae94e668ab655bb214aacc	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	fb7e1ce6bf67cccc2d48a8fb0962096858df4a6d11507b9ecfa8fc6357a82bc1	mark_phase3_canonical_vap_q3_ERR10619225	variant	variant	vap_variant_id	3029
sis_9759e83271a2437d67eeb6e7	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	ccf2ed6fb745d3fff803b9444dd0ff1c8fa50d967a96c2de374930daca25a430	mark_phase3_canonical_gsc_epilepsy	gene	gene	gsc_ensembl_gene_id	3543
sis_95f0a2f942f33209b1925d8f	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	ccf2ed6fb745d3fff803b9444dd0ff1c8fa50d967a96c2de374930daca25a430	mark_phase3_canonical_gsc_epilepsy	gene_label	gene_label	gsc_gene_symbol	3543
