topology_relationship_id	basis_component_id	basis_component_type	basis_component_role	basis_component_value	basis_component_reference	basis_component_namespace	source_assertion_id	source_identity_set_id	source_registration_unit_id	source_corpus_generation_id	resolution_status	ambiguity_status	conflict_status	lossiness_status	validation_status
topology_rel_0520108966992c391978a62f	topology_basis_067812fe81c52367e33b72c1	source_identity_set_reference	grouping_member		sis_b488b0e7a24b8aa20a4c09c4	gsc_provenance_id	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	sis_b488b0e7a24b8aa20a4c09c4	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_0520108966992c391978a62f	topology_basis_0e0be56f97999f6696fc6dd7	source_identity_set_reference	grouping_member		sis_c020e29e67e52835e36cc5bf	gsc_provenance_id	ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	sis_c020e29e67e52835e36cc5bf	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_0520108966992c391978a62f	topology_basis_105b5177f8ede4d2a67b4bf6	source_identity_set_field_value	grouping_key	identity_kind=provenance	identity_kind=provenance|participant_role=provenance|source_namespace=gsc_provenance_id					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_0520108966992c391978a62f	topology_basis_1c273f067abd31af4073413d	source_identity_set_field_value	grouping_key	source_namespace=gsc_provenance_id	identity_kind=provenance|participant_role=provenance|source_namespace=gsc_provenance_id	gsc_provenance_id				mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_0520108966992c391978a62f	topology_basis_3449bb3bc1c795c1d7deeeb9	source_identity_set_field_value	grouping_key	participant_role=provenance	identity_kind=provenance|participant_role=provenance|source_namespace=gsc_provenance_id					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_0520108966992c391978a62f	topology_basis_3d765db752203c31574bc09f	source_identity_set_reference	grouping_member		sis_1898bee5eac62c0592ad49d1	gsc_provenance_id	ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	sis_1898bee5eac62c0592ad49d1	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_0520108966992c391978a62f	topology_basis_7781e91d7126c00c3202f050	source_identity_set_reference	grouping_member		sis_7cedbc5eee250127972189c9	gsc_provenance_id	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	sis_7cedbc5eee250127972189c9	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_0520108966992c391978a62f	topology_basis_c40228604cef1cd40ab31738	source_identity_set_reference	grouping_member		sis_3e4e7be8494c9a9d8388f9bc	gsc_provenance_id	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	sis_3e4e7be8494c9a9d8388f9bc	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_0520108966992c391978a62f	topology_basis_f5d8920cd3f02a15f187b933	source_identity_set_reference	grouping_member		sis_a81a34dfa1291e854f5aa725	gsc_provenance_id	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	sis_a81a34dfa1291e854f5aa725	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_basis_0177f154f4092e1feffb825b	assertion_field_value	grouping_key	validation_status=deferred	validation_status=deferred					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_103f95022b01c3da86a623d1	topology_basis_5f8e4e4f5df4f87aade9629a	assertion_field_value	grouping_key	validation_status=supported	validation_status=supported					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_12d1a5beed9c71a4b40b44b8	topology_basis_4554dbf1393b7a77d9f7146a	assertion_field_value	grouping_key	assertion_type=variant_prioritization	assertion_type=variant_prioritization					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_15a1ef5820d122670acca282	topology_basis_1b171818f70d8fd545ed84ae	assertion_field_value	grouping_key	resolver_status=deferred	resolver_status=deferred					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_1703a748aeeadc19ef28f88a	topology_basis_e9ba006d0960eca6e2ad74e7	assertion_field_value	grouping_key	assertion_type=candidate_routing	assertion_type=candidate_routing					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_1b9fe885b0b96589c1df4a99	topology_basis_57f76407fb64c1ef2e24061b	assertion_field_value	grouping_key	assertion_type=phenotype_gene_semantic_prior	assertion_type=phenotype_gene_semantic_prior					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_1fe23d575e6fbf50274ec0bd	topology_basis_ba2807b06bc381e0f3d76812	assertion_field_value	grouping_key	relationship_class=variant_interpretation	relationship_class=variant_interpretation					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_21ac1e670d48aa86931dfb22	topology_basis_e5802cbb43ac88c30d7ef707	assertion_field_value	grouping_key	corpus_generation_id=mark_phase4_corpus_6tep_v1	corpus_generation_id=mark_phase4_corpus_6tep_v1					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_22c0fbf11476fa1e22e5a02e	topology_basis_c2c740d236f19dc236ef4876	assertion_field_value	grouping_key	resolver_status=indexed_with_note	resolver_status=indexed_with_note					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_248373b1c65a13609eadbe21	topology_basis_360b182b58d94193378b2a1d	assertion_field_value	grouping_key	assertion_type=source_gene_relationship	assertion_type=source_gene_relationship					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_250fa5ea1d0e8a8ac9c09be3	topology_basis_c511f24f8b878adfc8e14572	assertion_field_value	grouping_key	preservation_status=preserved	preservation_status=preserved					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_25f657b791e18587fc64305a	topology_basis_47df37eb300e32aa0f14b988	assertion_field_value	grouping_key	assertion_type=variant_observation	assertion_type=variant_observation					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_2723b41c9e79bcaecbf24c9c	topology_basis_6822a97133e211927901aeb9	source_identity_set_field_value	grouping_key	source_namespace=gsc_semantic_channel	identity_kind=semantic_channel|participant_role=semantic_channel|source_namespace=gsc_semantic_channel	gsc_semantic_channel				mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_2723b41c9e79bcaecbf24c9c	topology_basis_8b13733633c98df09e946628	source_identity_set_reference	grouping_member		sis_a6be0cb39e19fd7a877f5789	gsc_semantic_channel	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	sis_a6be0cb39e19fd7a877f5789	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_2723b41c9e79bcaecbf24c9c	topology_basis_a1d58c82ae78a99973537213	source_identity_set_field_value	grouping_key	identity_kind=semantic_channel	identity_kind=semantic_channel|participant_role=semantic_channel|source_namespace=gsc_semantic_channel					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_2723b41c9e79bcaecbf24c9c	topology_basis_a9f6e5ca224d6a3f249abc4b	source_identity_set_field_value	grouping_key	participant_role=semantic_channel	identity_kind=semantic_channel|participant_role=semantic_channel|source_namespace=gsc_semantic_channel					mark_phase4_corpus_6tep_v1	not_applicable	not_applicable	not_applicable	not_applicable	passed
topology_rel_2723b41c9e79bcaecbf24c9c	topology_basis_bd7bf8b942dbedddb58b08da	source_identity_set_reference	grouping_member		sis_37236d0d4a5a7551bbb08fa0	gsc_semantic_channel	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	sis_37236d0d4a5a7551bbb08fa0	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_27a8442cff1605c9926c5834	topology_basis_043f5bff974cf11d9dfab97d	source_identity_set_reference	grouping_member		sis_423c1bc901dfdace8398505a	vap_sample_id	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f	sis_423c1bc901dfdace8398505a	mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
topology_rel_27a8442cff1605c9926c5834	topology_basis_0466d264b4c38b2c200b6de0	source_identity_set_reference	grouping_member		sis_1d6cba746864223a79232b34	vap_sample_id	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf	sis_1d6cba746864223a79232b34	mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	resolved	not_applicable	not_applicable	lossless_by_reference	passed
