topology_relationship_id	member_id	member_type	member_role	member_reference	source_assertion_id	source_identity_set_id	source_registration_unit_id	source_corpus_generation_id	validation_status
topology_rel_0520108966992c391978a62f	topology_member_00e2aab05b58ccdb3e69e129	source_identity_set	source_identity_set_role_namespace_membership_member	sis_7cedbc5eee250127972189c9	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	sis_7cedbc5eee250127972189c9	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	passed
topology_rel_0520108966992c391978a62f	topology_member_1dcbe908663c8bb6ea604f67	source_identity_set	source_identity_set_role_namespace_membership_member	sis_a81a34dfa1291e854f5aa725	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	sis_a81a34dfa1291e854f5aa725	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	passed
topology_rel_0520108966992c391978a62f	topology_member_3be00e6e91d928055eff4dd1	source_identity_set	source_identity_set_role_namespace_membership_member	sis_1898bee5eac62c0592ad49d1	ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	sis_1898bee5eac62c0592ad49d1	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	passed
topology_rel_0520108966992c391978a62f	topology_member_6d2a4d8e5e7b60ed1fc340a6	source_identity_set	source_identity_set_role_namespace_membership_member	sis_c020e29e67e52835e36cc5bf	ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	sis_c020e29e67e52835e36cc5bf	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	passed
topology_rel_0520108966992c391978a62f	topology_member_96959916d61a5e0455fd01b6	source_identity_set	source_identity_set_role_namespace_membership_member	sis_b488b0e7a24b8aa20a4c09c4	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	sis_b488b0e7a24b8aa20a4c09c4	mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	passed
topology_rel_0520108966992c391978a62f	topology_member_ba31857330461c916ae476a3	source_identity_set	source_identity_set_role_namespace_membership_member	sis_3e4e7be8494c9a9d8388f9bc	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	sis_3e4e7be8494c9a9d8388f9bc	mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_2ba5dd758f05faf6171db9d5	assertion_record	validation_status_membership_member	ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2	ar_f2dadaa1fa45fae094cbedf90ad8df88cf5b494756e412dfb1c2e0a0591357f2		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_3f2c78a76c3d6d6b9211366d	assertion_record	validation_status_membership_member	ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a	ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_60be83a3a5e52a2e6a0d97f0	assertion_record	validation_status_membership_member	ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_751c4cbda720a1c9679af4a7	assertion_record	validation_status_membership_member	ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b	ar_a9eb6e533c78ede618f6615e2d585315bc156d0950bc27ae24945de8f3a34b3b		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_7771b4bb0b3ae9415e20f4e9	assertion_record	validation_status_membership_member	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_8ae1dd7746c3851850891ba7	assertion_record	validation_status_membership_member	ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83	ar_2f4d4171bc1f184e8ab1ebfa1cdab056f204dddad8984c46b906d495690c2a83		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_8b38348e4188477e23953c7a	assertion_record	validation_status_membership_member	ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029	ar_272c698ccec0014deca9b74e6cf1f31aaf2b651103e636ba8ce2f40a3ee37029		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_abd2cb15426ebca08689f198	assertion_record	validation_status_membership_member	ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85	ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_be35adf0214a5cd5b9c105d9	assertion_record	validation_status_membership_member	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3	ar_00fc74c5985776c0c8c3299612570496a09a5ba5244734786b1fcce12cb6efc3		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_bf1cb382bf6a23e2512a2b02	assertion_record	validation_status_membership_member	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f	ar_92396a374befe7c3f958ad911a6214334345e0b853a116a449e590045f04716f		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_d340ec78ba28a3ff8a4840cd	assertion_record	validation_status_membership_member	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_05df66ae7d19f0a6522d4be6	topology_member_ee78cafc34fd0bf7c03d7ad3	assertion_record	validation_status_membership_member	ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc	ar_f64cb4134b38291f0ac2423be52d6e3c8a7b6a56d1fce48e9a514ec08182f8bc		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_031e893d03425fb9c1dd11d5	assertion_record	validation_status_membership_member	ar_b7757290bd7b38e32710643d16ad2d3004e2d89a716200952186a0dd3e0fa198	ar_b7757290bd7b38e32710643d16ad2d3004e2d89a716200952186a0dd3e0fa198		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_03a05dd8766047c6bdcfaa7c	assertion_record	validation_status_membership_member	ar_fe242a404011f9fc256699c453053410345b009bbbd9b59856df5f9a5265c7a7	ar_fe242a404011f9fc256699c453053410345b009bbbd9b59856df5f9a5265c7a7		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_1638ed9602da9d2e05fcee72	assertion_record	validation_status_membership_member	ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68	ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_1eb2dbd38cc4625930908bce	assertion_record	validation_status_membership_member	ar_b0fd3e7e6bb37d97f7629cbb0dd031b3bb12adfa910496b94ac2ddafa5c3d13b	ar_b0fd3e7e6bb37d97f7629cbb0dd031b3bb12adfa910496b94ac2ddafa5c3d13b		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_206da5f1823b707fe3fef2f0	assertion_record	validation_status_membership_member	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665	ar_6a395fa20c2fc96f01a41ba134561b5a1c68133a9fcd31797a935661fc27e665		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_24312973598b1251319ddffd	assertion_record	validation_status_membership_member	ar_e1588489412735edc70d5e2d3c6f31f136571c49fc368a13f73af55631a23ea9	ar_e1588489412735edc70d5e2d3c6f31f136571c49fc368a13f73af55631a23ea9		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_2c988d4b9c12f601fbb1dae6	assertion_record	validation_status_membership_member	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_7ad21729d2fa1d4704089eda	assertion_record	validation_status_membership_member	ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13	ar_266e6354494ac1939729ddeb49e0676454acd6f9098fdd904ebb84deb006da13		mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_7f0ce2db92cdea3950b31438	assertion_record	validation_status_membership_member	ar_c915daffa16f084c26236a1da0942e68a6f6a6b638f7f4722625ab3d472a8353	ar_c915daffa16f084c26236a1da0942e68a6f6a6b638f7f4722625ab3d472a8353		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_895fc6d8a0ce0e96751c2c17	assertion_record	validation_status_membership_member	ar_cbf12ec6a12eb2b299b95f205deb5d22bfcdf06072e6c6a2f97a722a64ffcedc	ar_cbf12ec6a12eb2b299b95f205deb5d22bfcdf06072e6c6a2f97a722a64ffcedc		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_a0746514556ef803218b83f9	assertion_record	validation_status_membership_member	ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1	ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_a1d40b5b1eac7a4e35885466	assertion_record	validation_status_membership_member	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808	ar_005caf8d47105c7aa4040d5c4b4702b9ca802578eb0184b254a03110e834b808		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_a2cc8abd982d380b38d70833	assertion_record	validation_status_membership_member	ar_cbd3e38ed96d2c46e9aa0c9ef5405c31fbb27c2af9075268be2c3ff78787fe19	ar_cbd3e38ed96d2c46e9aa0c9ef5405c31fbb27c2af9075268be2c3ff78787fe19		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_a96b7566f89a0f9da96ff2da	assertion_record	validation_status_membership_member	ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151		mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_aac401fc00f184480eb90e38	assertion_record	validation_status_membership_member	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03	ar_884ce3361bee7b2641855401190c77690b5aecad7d9ac797174593cb84d73a03		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_afbcff2da5408fe03a1e8b0b	assertion_record	validation_status_membership_member	ar_c53698934cce02719df0f674c9dccfc22b9d5c7f308082713f8fbfab5bd31c7f	ar_c53698934cce02719df0f674c9dccfc22b9d5c7f308082713f8fbfab5bd31c7f		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_b894fb8f01f9375e9f5f0b4c	assertion_record	validation_status_membership_member	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf	ar_01023d694b99a14728d9d5686f5d87ca6ee8c55125dcdda3c6565f9df0ef1ecf		mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_b896c223a099877da60adadf	assertion_record	validation_status_membership_member	ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1	ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_c2d79ee7faf20fcca4eca699	assertion_record	validation_status_membership_member	ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c	ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c		mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_e3aea4d7ba799f8ceea2e9b1	assertion_record	validation_status_membership_member	ar_f83d0499b1443ad19e3a1cf64763954b6b470ab85c82f3e474fcc0e3c6fc98a8	ar_f83d0499b1443ad19e3a1cf64763954b6b470ab85c82f3e474fcc0e3c6fc98a8		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_e6981727cfb1e9fb2304c664	assertion_record	validation_status_membership_member	ar_1d7539bae96135844166460fb7cc0f9cf9e7000497d7e4d464cdbceb5e79bd0a	ar_1d7539bae96135844166460fb7cc0f9cf9e7000497d7e4d464cdbceb5e79bd0a		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_ed6fd4ab604f6195210cce9b	assertion_record	validation_status_membership_member	ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9	ar_00c8309ee53ea82e7b3a6c8036dbc26d50d4c91d6c392ba279d98acced5c51d9		mark_phase3_canonical_gsc_mitochondrial_disease	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_f54e899c11939935ea4ebbea	assertion_record	validation_status_membership_member	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89		mark_phase3_canonical_gsc_epilepsy	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_f8811e7213a57ac1b9bff040	assertion_record	validation_status_membership_member	ar_a74d9cf823c5deadeacd8476fae2f325d3c9d7e6861a56fc5dd09007d5927723	ar_a74d9cf823c5deadeacd8476fae2f325d3c9d7e6861a56fc5dd09007d5927723		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_fd384996ed52046ffdf4f313	assertion_record	validation_status_membership_member	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_103f95022b01c3da86a623d1	topology_member_fd79b72c53ad18aee0a2a09d	assertion_record	validation_status_membership_member	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_12d1a5beed9c71a4b40b44b8	topology_member_5a03411c52c10950a23dd309	assertion_record	assertion_type_membership_member	ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238	ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_12d1a5beed9c71a4b40b44b8	topology_member_9d8a5e3cfb3ca84c6e4e3619	assertion_record	assertion_type_membership_member	ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f	ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
topology_rel_12d1a5beed9c71a4b40b44b8	topology_member_b92b956fd3b18a8f06766e60	assertion_record	assertion_type_membership_member	ar_ce5d95d28470ed056afcb8944130307bdb1465d1457f4d1cea0ab653a74c3e98	ar_ce5d95d28470ed056afcb8944130307bdb1465d1457f4d1cea0ab653a74c3e98		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_12d1a5beed9c71a4b40b44b8	topology_member_cc5a1ac006c295a537521a71	assertion_record	assertion_type_membership_member	ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa	ar_30ed312ad799bd4af7e7e44102312c640b4cf86f452da28afc2f7b596e9ec9aa		mark_phase3_canonical_vap_q3_ERR10619225	mark_phase4_corpus_6tep_v1	passed
topology_rel_15a1ef5820d122670acca282	topology_member_072019971698e5c1467fadff	assertion_record	resolver_status_membership_member	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2	ar_6add977aefe38ac43fe9b5beb4279d798a1bc0d2bf16eaba7d7ed82c78ec75a2		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_15a1ef5820d122670acca282	topology_member_20e40c63726243d828f75e3a	assertion_record	resolver_status_membership_member	ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a	ar_ecfcdef501b807dfe3517e3ebd0304d7a3921907155572b27d7fb22028c5fe5a		mark_phase3_canonical_vap_q1_ERR10619212	mark_phase4_corpus_6tep_v1	passed
topology_rel_15a1ef5820d122670acca282	topology_member_3c8236644234ba63faf610e9	assertion_record	resolver_status_membership_member	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232		mark_phase3_canonical_vap_median_ERR10619300	mark_phase4_corpus_6tep_v1	passed
topology_rel_15a1ef5820d122670acca282	topology_member_451dc31a2560cda22f5aeefe	assertion_record	resolver_status_membership_member	ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972	ar_1e4ecc84be39c84c56b34460cb6e2e285dc9721d46e3190982516c7f2dc58972		mark_phase3_canonical_vap_hg002	mark_phase4_corpus_6tep_v1	passed
