sentinel_rank_within_group	producer	identity_route	source_namespace	source_identity_set_id	assertion_id	source_assertion_registration_id	source_identity_table_reference	source_identity_filter	source_identity_count	topology_expansion_row_count	tier1_status	requires_mark_deep_trace	mark_trace_question
1	VAP	default_coordinate_or_variant_brokerage	vap_variant_id	sis_7293b3134b3e588860e2ff60	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	mark_phase3_canonical_vap_median_ERR10619300:source_identities	assertion_registration_id=b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a;identity_kind=variant;participant_role=variant;source_namespace=vap_variant_id	2891	4	passed_compact_handle_preserved	true	On MARK, trace vap_variant_id through TEP/SQLite to confirm reference build, contig, start/end or pos, ref, alt, variant type, and observation context.
2	VAP	default_coordinate_or_variant_brokerage	vap_variant_id	sis_cec33e159ed11a16e1253fba	ar_a1f3bea235122e2443b0095c6c88e1987ce9d856ff5663c6777e71be7e5f1349	d25d9eb852c7e8087b71c4c7288037f771a1ff314538ac287ad1980f3840327f	mark_phase3_canonical_vap_hg002:source_identities	assertion_registration_id=d25d9eb852c7e8087b71c4c7288037f771a1ff314538ac287ad1980f3840327f;identity_kind=variant;participant_role=variant;source_namespace=vap_variant_id	4636584	4	passed_compact_handle_preserved	true	On MARK, trace vap_variant_id through TEP/SQLite to confirm reference build, contig, start/end or pos, ref, alt, variant type, and observation context.
1	VAP	gene_brokerage	vap_ensembl_gene_id	sis_bd4a92849d6fb595f360a838	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	mark_phase3_canonical_vap_median_ERR10619300:source_identities	assertion_registration_id=b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a;identity_kind=gene;participant_role=gene;source_namespace=vap_ensembl_gene_id	2891	4	passed_compact_handle_preserved	true	On MARK, trace vap_ensembl_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
2	VAP	gene_brokerage	vap_ensembl_gene_id	sis_a3c34177d611a11c344e0c42	ar_1d7539bae96135844166460fb7cc0f9cf9e7000497d7e4d464cdbceb5e79bd0a	bd6c6d863d00622fb1cb92aa2cd4e90988295661e2217431ba04ea63dd3cbfa7	mark_phase3_canonical_vap_hg002:source_identities	assertion_registration_id=bd6c6d863d00622fb1cb92aa2cd4e90988295661e2217431ba04ea63dd3cbfa7;identity_kind=gene;participant_role=gene;source_namespace=vap_ensembl_gene_id	4636584	4	passed_compact_handle_preserved	true	On MARK, trace vap_ensembl_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
1	VAP	gene_brokerage	vap_gene_symbol	sis_082fa77a30bd1439bda84bd7	ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	mark_phase3_canonical_vap_median_ERR10619300:source_identities	assertion_registration_id=b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a;identity_kind=gene;participant_role=gene;source_namespace=vap_gene_symbol	2891	4	passed_compact_handle_preserved	true	On MARK, trace vap_gene_symbol through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
2	VAP	gene_brokerage	vap_gene_symbol	sis_da107139bffb9a615b1f6410	ar_a35f7ca0d2c3bbc35ad21883eaf100979c4d9309ffe84de1a01c837895381e8f	475b6c6ca95cf3e004b382164ddacf9186cf826c95ecdf43406f9c001343964c	mark_phase3_canonical_vap_hg002:source_identities	assertion_registration_id=475b6c6ca95cf3e004b382164ddacf9186cf826c95ecdf43406f9c001343964c;identity_kind=gene;participant_role=gene;source_namespace=vap_gene_symbol	4636584	4	passed_compact_handle_preserved	true	On MARK, trace vap_gene_symbol through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
1	VAP	producer_or_observation_brokerage	vap_sample_id	sis_038ba5dc7eac7d9b1c79f884	ar_12b6cbf81b63f52c0bcf2954a95e3c4c95f054854abb77470414400892fd3b85	480a2121b7f0425e9783e5d30deca8c3cf913f8d39d5d5b636aae97322d50340	mark_phase3_canonical_vap_q1_ERR10619212:source_identities	assertion_registration_id=480a2121b7f0425e9783e5d30deca8c3cf913f8d39d5d5b636aae97322d50340;identity_kind=sample;participant_role=sample;source_namespace=vap_sample_id	1	4	passed_compact_handle_preserved	false	On MARK if needed, trace vap_sample_id to confirm producer/run/sample/source/provenance scope remains attached.
2	VAP	producer_or_observation_brokerage	vap_sample_id	sis_ff111d79193606338460a8f3	ar_5f506986f6fe4b18d42ff53ed01761f79ac2e3dad4f7f52e42d86e591bc2c0f7	70858da6ffb936e7c901c981570ea14fb7cc9221ee001c58ecd058099bc5a0db	mark_phase3_canonical_vap_q3_ERR10619225:source_identities	assertion_registration_id=70858da6ffb936e7c901c981570ea14fb7cc9221ee001c58ecd058099bc5a0db;identity_kind=sample;participant_role=sample;source_namespace=vap_sample_id	1	4	passed_compact_handle_preserved	false	On MARK if needed, trace vap_sample_id to confirm producer/run/sample/source/provenance scope remains attached.
1	GSC	gene_brokerage	gsc_ensembl_gene_id	sis_00058d7dda724ab41a793ce3	ar_2c4dff52c01cd28bafd38cf40d1283437093a2aabcd798ef98d5971be301562c	9208504e5cea72e6437b7f4dd060ac98dde18d374ea3cceea000a586e5f262a8	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=9208504e5cea72e6437b7f4dd060ac98dde18d374ea3cceea000a586e5f262a8;identity_kind=gene;participant_role=gene;source_namespace=gsc_ensembl_gene_id	3543	4	passed_compact_handle_preserved	true	On MARK, trace gsc_ensembl_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
2	GSC	gene_brokerage	gsc_ensembl_gene_id	sis_e129e1a4a60af61497d36d1a	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946;identity_kind=gene;participant_role=gene;source_namespace=gsc_ensembl_gene_id	4405	4	passed_compact_handle_preserved	true	On MARK, trace gsc_ensembl_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
1	GSC	gene_brokerage	gsc_source_gene_id	sis_17ffd89fe7ae37af6b3fdff0	ar_76b9749c5d00ec7beb1ce39b01b00a8f5dd3195bb1d40178e62713beb752f388	43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e	mark_phase3_canonical_gsc_mitochondrial_disease:source_identities	assertion_registration_id=43eecf1345d2adfb6cb05920b7a4f9e3a84751ac7117f093c6a07e8b4831716e;identity_kind=source_gene;participant_role=source_gene;source_namespace=gsc_source_gene_id	3885	4	passed_compact_handle_preserved	true	On MARK, trace gsc_source_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
2	GSC	gene_brokerage	gsc_source_gene_id	sis_e2d3c4d851d818edeae29454	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946;identity_kind=source_gene;participant_role=source_gene;source_namespace=gsc_source_gene_id	4398	4	passed_compact_handle_preserved	true	On MARK, trace gsc_source_gene_id through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
1	GSC	gene_brokerage	gsc_gene_symbol	sis_2164cb8fc78d1da857441408	ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d	0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3;identity_kind=gene_label;participant_role=gene_label;source_namespace=gsc_gene_symbol	3543	4	passed_compact_handle_preserved	true	On MARK, trace gsc_gene_symbol through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
2	GSC	gene_brokerage	gsc_gene_symbol	sis_4e8a1a45c27177b27a3724a1	ar_b1eae61a4cfaac1314915987e13aabb44ad26e5e6bbbb0c30b978fffd5c49a89	550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a	mark_phase3_canonical_gsc_epilepsy:source_identities	assertion_registration_id=550655acd592399532576b4a11550e944b718b143a480c316eea2a5762317a7a;identity_kind=gene_label;participant_role=gene_label;source_namespace=gsc_gene_symbol	4405	4	passed_compact_handle_preserved	true	On MARK, trace gsc_gene_symbol through TEP/SQLite to confirm source gene value, declared namespace, identifier-map or adapter-resolution provenance, and release/phenotype scope when applicable.
